Date,q_rebal,qo_rebal
5/30/2014,0.084513755,0.096789804
6/30/2014,0.11427864,0.127476871
7/31/2014,-0.03346018,-0.023148266
8/29/2014,0.066389295,0.038518057
9/30/2014,-0.011455521,-0.003974931
10/31/2014,-0.013723951,0.002330587
11/28/2014,0.036007716,0.057106048
12/31/2014,-0.006033748,0.034203698
1/30/2015,0.026833602,0.049651744
2/27/2015,0.096182919,0.089929637
3/31/2015,0.024989744,0.008521086
4/30/2015,-0.038474405,-0.005148593
5/29/2015,0.128107236,0.113135718
6/30/2015,-0.02298353,-0.022447046
7/31/2015,0.00695274,0.026733377
8/31/2015,-0.060407403,-0.050136814
9/30/2015,-0.042936152,-0.032819585
10/30/2015,0.042448325,0.032045343
11/30/2015,-0.01874474,-0.013781433
12/31/2015,-0.03367868,-0.032566008
1/29/2016,-0.086908802,-0.053480304
2/29/2016,-0.029541545,-0.031232284
3/31/2016,0.05099102,0.087752177
4/29/2016,0.00167198,-0.00413473
5/31/2016,0.10993945,0.122642853
6/30/2016,-0.023573776,-0.00950233
7/29/2016,0.076401592,0.083459278
8/31/2016,0.00764587,0.003283701
9/30/2016,0.054330237,0.041465361
10/31/2016,-0.021655566,0.009089729
11/30/2016,0.04977438,0.059088005
12/30/2016,0.018809424,0.009674389
1/31/2017,0.06017348,0.060637721
2/28/2017,0.037777324,0.010894068
3/31/2017,0.043383432,0.04802321
4/28/2017,0.028516755,0.03168234
5/31/2017,0.085815646,0.075135514
6/30/2017,-0.065834951,-0.077778813
7/31/2017,0.051404832,0.029053856
8/31/2017,0.004364812,0.004174722
9/29/2017,0.044931493,0.017145297
10/31/2017,0.04815466,0.034419499
11/30/2017,-0.014493518,-0.009198908
12/29/2017,-0.013666,-0.018134
1/31/2018,0.1215418,0.129738167
2/28/2018,-0.014857,-0.019629167
3/29/2018,-0.0092848,-0.015355714
4/30/2018,0.002496571,0.006555143
