Identifier,Sector
MMC,Financials
MS,Financials
MSCI,Financials
MTB,Financials
NDAQ,Financials
NTRS,Financials
PBCT,Financials
PFG,Financials
PGR,Financials
PNC,Financials
PRU,Financials
RE,Financials
RF,Financials
RJF,Financials
SCHW,Financials
SIVB,Financials
SPGI,Financials
STI,Financials
STT,Financials
SYF,Financials
TMK,Financials
TROW,Financials
TRV,Financials
UNM,Financials
USB,Financials
WFC,Financials
WLTW,Financials
ZION,Financials
A,Health Care
ABBV,Health Care
ABC,Health Care
ABMD,Health Care
ABT,Health Care
AGN,Health Care
ALGN,Health Care
ALXN,Health Care
AMGN,Health Care
ANTM,Health Care
BAX,Health Care
BDX,Health Care
BIIB,Health Care
BMY,Health Care
BSX,Health Care
CAH,Health Care
CELG,Health Care
CERN,Health Care
CI,Health Care
CNC,Health Care
COO,Health Care
CVS,Health Care
DGX,Health Care
DHR,Health Care
DVA,Health Care
EW,Health Care
GILD,Health Care
HCA,Health Care
HOLX,Health Care
HSIC,Health Care
HUM,Health Care
IDXX,Health Care
ILMN,Health Care
INCY,Health Care
IQV,Health Care
ISRG,Health Care
JNJ,Health Care
LH,Health Care
LLY,Health Care
MCK,Health Care
MDT,Health Care
MRK,Health Care
MTD,Health Care
MYL,Health Care
NKTR,Health Care
PFE,Health Care
PKI,Health Care
PRGO,Health Care
REGN,Health Care
RMD,Health Care
SYK,Health Care
TFX,Health Care
TMO,Health Care
UHS,Health Care
UNH,Health Care
VAR,Health Care
VRTX,Health Care
WAT,Health Care
WCG,Health Care
XRAY,Health Care
ZBH,Health Care
ZTS,Health Care
AAL,Industrials
ALK,Industrials
ALLE,Industrials
AME,Industrials
AOS,Industrials
ARNC,Industrials
BA,Industrials
CAT,Industrials
CHRW,Industrials
CMI,Industrials
CPRT,Industrials
CSX,Industrials
CTAS,Industrials
DAL,Industrials
DE,Industrials
DOV,Industrials
EFX,Industrials
EMR,Industrials
ETN,Industrials
EXPD,Industrials
FAST,Industrials
FBHS,Industrials
FDX,Industrials
FLS,Industrials
FTV,Industrials
GD,Industrials
GE,Industrials
GWW,Industrials
HII,Industrials
HON,Industrials
INFO,Industrials
IR,Industrials
ITW,Industrials
JBHT,Industrials
JCI,Industrials
JEC,Industrials
KSU,Industrials
LHX,Industrials
LMT,Industrials
LUV,Industrials
MAS,Industrials
MMM,Industrials
NLSN,Industrials
NOC,Industrials
NSC,Industrials
PCAR,Industrials
PH,Industrials
PNR,Industrials
PWR,Industrials
RHI,Industrials
ROK,Industrials
ROL,Industrials
ROP,Industrials
RSG,Industrials
RTN,Industrials
SNA,Industrials
SWK,Industrials
TDG,Industrials
TXT,Industrials
UAL,Industrials
UNP,Industrials
UPS,Industrials
URI,Industrials
UTX,Industrials
VRSK,Industrials
WAB,Industrials
WM,Industrials
XYL,Industrials
AAPL,Information Technology
ACN,Information Technology
ADBE,Information Technology
ADI,Information Technology
ADP,Information Technology
ADS,Information Technology
ADSK,Information Technology
AKAM,Information Technology
AMAT,Information Technology
AMD,Information Technology
ANET,Information Technology
ANSS,Information Technology
APH,Information Technology
AVGO,Information Technology
BR,Information Technology
CDNS,Information Technology
CRM,Information Technology
CSCO,Information Technology
CTSH,Information Technology
CTXS,Information Technology
DXC,Information Technology
FFIV,Information Technology
FIS,Information Technology
FISV,Information Technology
FLIR,Information Technology
FLT,Information Technology
FTNT,Information Technology
GLW,Information Technology
GPN,Information Technology
HPE,Information Technology
HPQ,Information Technology
IBM,Information Technology
INTC,Information Technology
INTU,Information Technology
IPGP,Information Technology
IT,Information Technology
JKHY,Information Technology
JNPR,Information Technology
KEYS,Information Technology
KLAC,Information Technology
LRCX,Information Technology
MA,Information Technology
MCHP,Information Technology
MSFT,Information Technology
MSI,Information Technology
MU,Information Technology
MXIM,Information Technology
NTAP,Information Technology
NVDA,Information Technology
ORCL,Information Technology
PAYX,Information Technology
PYPL,Information Technology
QCOM,Information Technology
QRVO,Information Technology
RHT,Information Technology
SNPS,Information Technology
STX,Information Technology
SWKS,Information Technology
SYMC,Information Technology
TEL,Information Technology
TSS,Information Technology
TXN,Information Technology
V,Information Technology
VRSN,Information Technology
WDC,Information Technology
WU,Information Technology
XLNX,Information Technology
XRX,Information Technology
ALB,Materials
AMCR,Materials
APD,Materials
AVY,Materials
BLL,Materials
CE,Materials
CF,Materials
CTVA,Materials
DD,Materials
DOW,Materials
ECL,Materials
EMN,Materials
FCX,Materials
FMC,Materials
IFF,Materials
IP,Materials
LIN,Materials
LYB,Materials
MLM,Materials
MOS,Materials
NEM,Materials
NUE,Materials
PKG,Materials
PPG,Materials
SEE,Materials
SHW,Materials
VMC,Materials
WRK,Materials
AIV,Real Estate
AMT,Real Estate
ARE,Real Estate
AVB,Real Estate
BXP,Real Estate
CBRE,Real Estate
CCI,Real Estate
DLR,Real Estate
DRE,Real Estate
EQIX,Real Estate
EQR,Real Estate
ESS,Real Estate
EXR,Real Estate
FRT,Real Estate
HCP,Real Estate
HST,Real Estate
IRM,Real Estate
KIM,Real Estate
MAA,Real Estate
MAC,Real Estate
O,Real Estate
PLD,Real Estate
PSA,Real Estate
REG,Real Estate
SBAC,Real Estate
SLG,Real Estate
SPG,Real Estate
UDR,Real Estate
VNO,Real Estate
VTR,Real Estate
WELL,Real Estate
WY,Real Estate
AEE,Utilities
AEP,Utilities
AES,Utilities
ATO,Utilities
AWK,Utilities
CMS,Utilities
CNP,Utilities
D,Utilities
DTE,Utilities
DUK,Utilities
ED,Utilities
EIX,Utilities
ES,Utilities
ETR,Utilities
EVRG,Utilities
EXC,Utilities
FE,Utilities
LNT,Utilities
NEE,Utilities
NI,Utilities
NRG,Utilities
PEG,Utilities
PNW,Utilities
PPL,Utilities
SO,Utilities
SRE,Utilities
WEC,Utilities
XEL,Utilities
